TradeDate,RIC,SecurityDescription,Rate,Tenor,MaturityDate
2023-08-23,USDSOFR=,US Dollar Secured Overnight Financing Rate SOFR - FRB,5.300000190734863,ON,2023-08-24
2023-08-23,USDSROISSW=,US Dollar Spot Week AMM vs SOFR Overnight Index Swap,5.297599792480469,SW,2023-09-01
2023-08-23,USDSROIS1M=,US Dollar 1 Month AMM vs SOFR Overnight Index Swap,5.313000202178955,1M,2023-09-25
2023-08-23,USDSROIS2M=,US Dollar 2 Month AMM vs SOFR Overnight Index Swap,5.343299865722656,2M,2023-10-25
2023-08-23,USDSROIS3M=,US Dollar 3 Month AMM vs SOFR Overnight Index Swap,5.382400035858154,3M,2023-11-27
2023-08-23,USDSROIS4M=,US Dollar 4 Month AMM vs SOFR Overnight Index Swap,5.408400058746338,4M,2023-12-26
2023-08-23,USDSROIS5M=,US Dollar 5 Month AMM vs SOFR Overnight Index Swap,5.428400039672852,5M,2024-01-25
2023-08-23,USDSROIS6M=,US Dollar 6 Month AMM vs SOFR Overnight Index Swap,5.440400123596191,6M,2024-02-26
2023-08-23,USDSROIS7M=,US Dollar 7 Month AMM vs SOFR Overnight Index Swap,5.444200038909912,7M,2024-03-25
2023-08-23,USDSROIS8M=,US Dollar 8 Month AMM vs SOFR Overnight Index Swap,5.442399978637695,8M,2024-04-25
2023-08-23,USDSROIS9M=,US Dollar 9 Month AMM vs SOFR Overnight Index Swap,5.433599948883057,9M,2024-05-28
2023-08-23,USDSROIS10M=,US Dollar 10 Month AMM vs SOFR Overnight Index Swap,5.418399810791016,10M,2024-06-25
2023-08-23,USDSROIS11M=,US Dollar 11 Month AMM vs SOFR Overnight Index Swap,5.399400234222412,11M,2024-07-25
2023-08-23,USDSROIS1Y=,US Dollar 1 Year AMM vs SOFR Overnight Index Swap,5.3703999519348145,1Y,2024-08-26
